
---------- Begin Simulation Statistics ----------
simSeconds                                   0.016424                       # Number of seconds simulated (Second)
simTicks                                  16423902096                       # Number of ticks simulated (Tick)
finalTick                                 16423902096                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    148.70                       # Real time elapsed on the host (Second)
hostTickRate                                110451306                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2258908                       # Number of bytes of host memory used (Byte)
simInsts                                     50000002                       # Number of instructions simulated (Count)
simOps                                       57037334                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   336251                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     383578                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         23002665                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        62121452                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      914                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       60162677                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    595                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5084971                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          13990099                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  56                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            22953375                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.621082                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.944986                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2959200     12.89%     12.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4913079     21.40%     34.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4472888     19.49%     53.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3478854     15.16%     68.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2993593     13.04%     81.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2318690     10.10%     92.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    904307      3.94%     96.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    428516      1.87%     97.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    484248      2.11%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              22953375                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  160424     17.04%     17.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     17.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     17.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     17.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     17.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     17.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     17.04% # attempts to use FU when none available (Count)
