
---------- Begin Simulation Statistics ----------
simSeconds                                   0.212101                       # Number of seconds simulated (Second)
simTicks                                 212100581250                       # Number of ticks simulated (Tick)
finalTick                                212100581250                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1266.90                       # Real time elapsed on the host (Second)
hostTickRate                                167416928                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2264172                       # Number of bytes of host memory used (Byte)
simInsts                                    100000002                       # Number of instructions simulated (Count)
simOps                                      194241460                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    78933                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     153320                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        848402326                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       247646908                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      978                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      277253461                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  88032                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             53406347                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          99900149                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 439                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           848337154                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.326820                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.127616                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 765534302     90.24%     90.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  17016251      2.01%     92.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  12138152      1.43%     93.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9539088      1.12%     94.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  27260421      3.21%     98.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5359072      0.63%     98.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   9278255      1.09%     99.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1855836      0.22%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    355777      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             848337154                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   68085      0.27%      0.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.27% # attempts to use FU when none available (Count)
