
---------- Begin Simulation Statistics ----------
simSeconds                                   0.210902                       # Number of seconds simulated (Second)
simTicks                                 210901726512                       # Number of ticks simulated (Tick)
finalTick                                210901726512                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    803.79                       # Real time elapsed on the host (Second)
hostTickRate                                262384817                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2263144                       # Number of bytes of host memory used (Byte)
simInsts                                     50000000                       # Number of instructions simulated (Count)
simOps                                      141069298                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    62205                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     175506                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        379319653                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       176140678                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      665                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      194620097                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2406                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             35071990                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          49617993                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 126                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           379297833                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.513106                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.409439                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 324013668     85.42%     85.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11178405      2.95%     88.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6555400      1.73%     90.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4440019      1.17%     91.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  19793763      5.22%     96.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3333547      0.88%     97.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   8736479      2.30%     99.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1223242      0.32%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     23310      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             379297833                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1169      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
