
---------- Begin Simulation Statistics ----------
simSeconds                                   0.019907                       # Number of seconds simulated (Second)
simTicks                                  19907433840                       # Number of ticks simulated (Tick)
finalTick                                 19907433840                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    150.74                       # Real time elapsed on the host (Second)
hostTickRate                                132060397                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2252860                       # Number of bytes of host memory used (Byte)
simInsts                                     50000005                       # Number of instructions simulated (Count)
simOps                                       56016502                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   331686                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     371597                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         27881561                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        61688181                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   394473                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       59796274                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  88182                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6066143                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          13756321                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1434                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            27864795                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.145943                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.272000                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  10211665     36.65%     36.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3730315     13.39%     50.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3484426     12.50%     62.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2695311      9.67%     72.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2757410      9.90%     82.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2140598      7.68%     89.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1371741      4.92%     94.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    738534      2.65%     97.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    734795      2.64%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              27864795                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  186302     10.96%     10.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     10.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     10.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     10.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     10.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     10.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     10.96% # attempts to use FU when none available (Count)
