
---------- Begin Simulation Statistics ----------
simSeconds                                   0.367181                       # Number of seconds simulated (Second)
simTicks                                 367181250500                       # Number of ticks simulated (Tick)
finalTick                                367181250500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2999.57                       # Real time elapsed on the host (Second)
hostTickRate                                122411250                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2252996                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1177819171                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   333381                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     392662                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        734362502                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1334919804                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      110                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1287153662                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2459                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            157100673                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         372929940                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  14                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           734341373                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.752800                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.215372                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 345810507     47.09%     47.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  84218548     11.47%     58.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  83452763     11.36%     69.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  69018917      9.40%     79.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  50904043      6.93%     86.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  36630426      4.99%     91.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  29415113      4.01%     95.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  13414591      1.83%     97.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  21476465      2.92%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             734341373                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 5156198     74.06%     74.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     74.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     74.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     74.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     74.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     74.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     74.06% # attempts to use FU when none available (Count)
