
---------- Begin Simulation Statistics ----------
simSeconds                                   0.290612                       # Number of seconds simulated (Second)
simTicks                                 290612431500                       # Number of ticks simulated (Tick)
finalTick                                290612431500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3866.86                       # Real time elapsed on the host (Second)
hostTickRate                                 75154648                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2260956                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000000                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   258608                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     292786                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        581224864                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1561674582                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1925                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1357496527                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   6907                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            429512869                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1122771138                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  73                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           581149126                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.335883                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.019403                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 136257450     23.45%     23.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  99233902     17.08%     40.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 104772170     18.03%     58.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  86715647     14.92%     73.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  57830567      9.95%     83.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  51006668      8.78%     92.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  23524795      4.05%     96.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  13396450      2.31%     98.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   8411477      1.45%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             581149126                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3338551     18.12%     18.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     18.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     18.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     18.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     18.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     18.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     18.12% # attempts to use FU when none available (Count)
