
---------- Begin Simulation Statistics ----------
simSeconds                                   0.247926                       # Number of seconds simulated (Second)
simTicks                                 247925700500                       # Number of ticks simulated (Tick)
finalTick                                247925700500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3469.35                       # Real time elapsed on the host (Second)
hostTickRate                                 71461646                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2261980                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000000                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   288238                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     326333                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        495851402                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1354355122                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1965                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1281302780                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   7432                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            222193449                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         460672875                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 113                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           495776496                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.584436                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.061525                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  91017226     18.36%     18.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  81442269     16.43%     34.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  97309665     19.63%     54.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  79796670     16.10%     70.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  50726898     10.23%     80.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  45743213      9.23%     89.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  23217888      4.68%     94.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  17261150      3.48%     98.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9261517      1.87%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             495776496                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2977699     13.34%     13.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     13.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     13.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     13.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     13.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     13.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     13.34% # attempts to use FU when none available (Count)
