
---------- Begin Simulation Statistics ----------
simSeconds                                   0.234258                       # Number of seconds simulated (Second)
simTicks                                 234257895000                       # Number of ticks simulated (Tick)
finalTick                                234257895000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3138.96                       # Real time elapsed on the host (Second)
hostTickRate                                 74629057                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2261980                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000000                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   318576                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     360681                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        468515791                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1253897848                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1928                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1211236858                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5120                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            121736138                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         295882612                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  76                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           468437653                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.585695                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.971826                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  69188284     14.77%     14.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  95397075     20.36%     35.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  90177147     19.25%     54.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  70525403     15.06%     69.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  59463645     12.69%     82.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  44289711      9.45%     91.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  20414907      4.36%     95.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9735145      2.08%     98.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9246336      1.97%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             468437653                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2577526     14.22%     14.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     14.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     14.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     14.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     14.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     14.22% # attempts to use FU when none available (Count)
