
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000107                       # Number of seconds simulated (Second)
simTicks                                    106735000                       # Number of ticks simulated (Tick)
finalTick                                   106735000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.31                       # Real time elapsed on the host (Second)
hostTickRate                                 81741512                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2249756                       # Number of bytes of host memory used (Byte)
simInsts                                       100001                       # Number of instructions simulated (Count)
simOps                                         124097                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    76079                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      94406                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           213471                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          191632                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      676                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         159494                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    322                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                68164                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            200516                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  19                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              141987                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.123300                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.704648                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     81801     57.61%     57.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     20059     14.13%     71.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     13366      9.41%     81.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     10298      7.25%     88.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      7102      5.00%     93.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      4898      3.45%     96.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      2861      2.01%     98.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      1071      0.75%     99.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       531      0.37%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                141987                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     199      6.88%      6.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      6.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      6.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      6.88% # attempts to use FU when none available (Count)
