
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020980                       # Number of seconds simulated (Second)
simTicks                                  20980366000                       # Number of ticks simulated (Tick)
finalTick                                 20980366000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    381.63                       # Real time elapsed on the host (Second)
hostTickRate                                 54975816                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2241800                       # Number of bytes of host memory used (Byte)
simInsts                                    100000001                       # Number of instructions simulated (Count)
simOps                                      117967369                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   262034                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     309115                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         41960733                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       122933168                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      114                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      122716685                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 122040                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4965865                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          10929996                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  18                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            41941811                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.925880                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.327868                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7814481     18.63%     18.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5459552     13.02%     31.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7266756     17.33%     48.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6114873     14.58%     63.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5037205     12.01%     75.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3482996      8.30%     83.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2885047      6.88%     90.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1542288      3.68%     94.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2338613      5.58%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              41941811                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  956062     99.80%     99.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.80% # attempts to use FU when none available (Count)
